,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,transcript_id,gene_id,gene_name,transcript_name,CP209,GZ209,CP334,GZ334,CP336,GZ336
43,78.7420561822372,4.10492811194076,0.454791487057345,9.02595635309938,1.78132558539942e-19,4.8075077717582e-17,ENST00000309212.11,ENSG00000162576.17,MXRA8,MXRA8-201,10,102,12,191,7,127
44,2004.99683265197,-2.874429087666,0.319049161541824,-9.00936104572458,2.07260490103747e-19,5.46649542648633e-17,ENST00000477224.6,ENSG00000164076.17,CAMKV,CAMKV-209,5082,297,3372,480,3393,589
45,151.229758698959,3.287569884246,0.365082686841079,9.0050007922646,2.15664256034411e-19,5.56174153617632e-17,ENST00000251020.9,ENSG00000103449.13,SALL1,SALL1-201,40,186,34,323,21,262
46,64.8859349252258,4.29598678367728,0.478756044841945,8.9732272416436,2.87951208926158e-19,7.2645082164958e-17,ENST00000347703.7,ENSG00000144354.15,CDCA7,CDCA7-202,8,79,7,159,6,116
47,296.658292867417,3.29378762567983,0.369232431969177,8.92063464770286,4.63623685756579e-19,1.14475593046917e-16,ENST00000305352.7,ENSG00000170989.10,S1PR1,S1PR1-201,83,232,69,925,36,541
48,78.4925277391888,4.44072438212083,0.499053122247115,8.89829996879958,5.67085806471793e-19,1.37104808002191e-16,ENST00000395863.8,ENSG00000101144.13,BMP7,BMP7-201,6,101,10,133,7,180
49,171.953492504372,4.17671890325095,0.470484806919285,8.87747880872059,6.83928627991801e-19,1.61979423017242e-16,ENST00000428849.7,ENSG00000237649.8,KIFC1,KIFC1-211,12,115,35,529,14,403
50,108.137599681785,-4.92883545996216,0.558419003452078,-8.82641068712329,1.08088590220883e-18,2.45954527355558e-16,ENST00000506554.5,ENSG00000081189.16,MEF2C,MEF2C-210,408,3,165,12,146,6
51,67.8520777615082,4.05154973231135,0.459013239550541,8.82665113598589,1.0785656666868e-18,2.45954527355558e-16,ENST00000314759.6,ENSG00000165480.16,SKA3,SKA3-202,8,70,12,150,6,156
52,165.879706802825,4.06035693984958,0.460359202386043,8.81997561644197,1.14484648770502e-18,2.55498913265706e-16,ENST00000261597.9,ENSG00000080986.13,NDC80,NDC80-201,10,134,36,432,17,402
53,256.732163264041,-4.1992952927618,0.476556368686974,-8.81174939353313,1.23207818312537e-18,2.69778628588111e-16,ENST00000446050.7,ENSG00000163536.13,SERPINI1,SERPINI1-202,654,9,288,33,651,40
54,91.0384639549674,3.61092429912626,0.411351752970725,8.7781911054193,1.66124824021202e-18,3.57014552364083e-16,ENST00000262776.8,ENSG00000108679.13,LGALS3BP,LGALS3BP-201,16,72,14,226,16,221
55,546.837293290279,3.01763771507326,0.343997663531496,8.77226224182471,1.75111989632868e-18,3.69486298125351e-16,ENST00000247291.8,ENSG00000126878.13,AIF1L,AIF1L-201,153,348,142,1652,110,1136
